"","ngram","freq","length","less1gram","less1gram_freq","hit_rate","suggest"
"10869","as part of",60,"3","as part",60,1,"of"
"10990","in terms of",34,"3","in terms",34,1,"of"
"10998","been able to",33,"3","been able",33,1,"to"
"11009","was able to",32,"3","was able",32,1,"to"
"11035","the associated press",29,"3","the associated",29,1,"press"
"11091","the use of",26,"3","the use",26,1,"of"
"15244","to be able to",26,"4","to be able",26,1,"to"
"2421","unable to",25,"2","unable",25,1,"to"
"11183","the hands of",22,"3","the hands",22,1,"of"
"11210","that kind of",21,"3","that kind",21,1,"of"
"11215","the supreme court",21,"3","the supreme",21,1,"court"
"11224","a lack of",20,"3","a lack",20,1,"of"
"11248","the lack of",20,"3","the lack",20,1,"of"
"11259","were trying to",20,"3","were trying",20,1,"to"
"11306","us department of",19,"3","us department",19,1,"of"
"3638","ought to",18,"2","ought",18,1,"to"
"11322","from around the",18,"3","from around",18,1,"the"
"11392","is part of",17,"3","is part",17,1,"of"
"15270","in an effort to",17,"4","in an effort",17,1,"to"
"11450","being able to",16,"3","being able",16,1,"to"
"11463","hes going to",16,"3","hes going",16,1,"to"
"11486","take care of",16,"3","take care",16,1,"of"
"11606","was trying to",15,"3","was trying",15,1,"to"
"15285","the us department of",15,"4","the us department",15,1,"of"
"11734","year according to",14,"3","year according",14,1,"to"
"11763","dow jones industrial",13,"3","dow jones",13,1,"industrial"
"11793","jones industrial average",13,"3","jones industrial",13,1,"average"
"11840","the super bowl",13,"3","the super",13,1,"bowl"
"11842","the wake of",13,"3","the wake",13,1,"of"
"11848","theyre going to",13,"3","theyre going",13,1,"to"
"15302","dow jones industrial average",13,"4","dow jones industrial",13,1,"average"
"15305","in the wake of",13,"4","in the wake",13,1,"of"
"6073","ranging from",12,"2","ranging",12,1,"from"
"6297","willingness to",12,"2","willingness",12,1,"to"
"11886","and try to",12,"3","and try",12,1,"to"
"11927","his or her",12,"3","his or",12,1,"her"
"11934","id like to",12,"3","id like",12,1,"to"
"11936","im trying to",12,"3","im trying",12,1,"to"
"12015","the midst of",12,"3","the midst",12,1,"of"
"12049","us supreme court",12,"3","us supreme",12,1,"court"
"12050","was scheduled to",12,"3","was scheduled",12,1,"to"
"15319","in the midst of",12,"4","in the midst",12,1,"of"
"15324","should be able to",12,"4","should be able",12,1,"to"
"15327","square feet on for",12,"4","square feet on",12,1,"for"
"15328","the dow jones industrial",12,"4","the dow jones",12,1,"industrial"
"15330","to the united states",12,"4","to the united",12,1,"states"
"15331","told the associated press",12,"4","told the associated",12,1,"press"
"12082","are part of",11,"3","are part",11,1,"of"
"12083","as opposed to",11,"3","as opposed",11,1,"to"
"12153","is survived by",11,"3","is survived",11,1,"by"
"12164","martin luther king",11,"3","martin luther",11,1,"king"
"12185","on condition of",11,"3","on condition",11,1,"of"
"12240","the presence of",11,"3","the presence",11,1,"of"
